district	Precinct	PopTotal	PopWhite	PopNonWhite	PctNonWhite
A	001-15	3238	2701	537	16.58
A	001-17	1525	1363	162	10.62
A	001-18	5066	2700	2366	46.70
A	001-30	1726	1581	145	8.40
A	001-37	2468	2125	343	13.90
A	001-39	3881	2476	1405	36.20
A	001-42	3732	3042	690	18.49
A	001-43	4057	2206	1851	45.62
A	001-44	5997	3238	2759	46.01
A	001-45	3288	1770	1518	46.17
A	001-47	2838	2415	423	14.90
A	001-51	1454	1161	293	20.15
A	002-01	1165	881	284	24.38
B	002-04	351	258	93	26.50
A	002-06	1181	1049	132	11.18
A	007-03	2012	1694	318	15.81
A	007-04	6118	3875	2243	36.66
A	007-05	2536	1765	771	30.40
A	007-06	4558	3765	793	17.40
A	007-07	5798	4445	1353	23.34
A	007-09	5027	3440	1587	31.57
A	007-11	1409	1253	156	11.07
A	007-13	3014	2057	957	31.75
A	008-05	1091	806	285	26.12
A	008-07	210	151	59	28.10
B	013-02	2860	2253	607	21.22
A	013-05	4191	1524	2667	63.64
B	013-06	4222	2968	1254	29.70
A	001-38	3826	1657	2169	56.69
A	001-46	7409	1334	6075	81.99
B	013-01	10396	2723	7673	73.81
B	013-07	3920	1219	2701	68.90
B	013-08	5787	1384	4403	76.08
B	013-09	7901	2331	5570	70.50
B	013-10	8716	6696	2020	23.18
B	013-11	3955	3122	833	21.06
C	017-01	5054	1462	3592	71.07
C	017-05	5941	1990	3951	66.50
C	017-10	2507	882	1625	64.82
B	017-11	8332	2190	6142	73.72
B	019-13	3359	1908	1451	43.20
B	019-14	4802	2864	1938	40.36
B	019-15	2795	1778	1017	36.39
B	019-16	1800	735	1065	59.17
B	019-17	8275	3798	4477	54.10
B	019-21	3376	1536	1840	54.50
C	001-13	2240	1606	634	28.30
C	001-14	4670	3664	1006	21.54
C	001-19	3307	340	2967	89.72
C	001-20	4279	1905	2374	55.48
C	001-22	6288	489	5799	92.22
D	001-25	1158	237	921	79.53
C	001-26	5556	2363	3193	57.47
C	001-28	7107	3066	4041	56.86
C	001-34	2704	898	1806	66.79
C	001-35	4274	450	3824	89.47
C	001-40	8111	947	7164	88.32
C	001-50	4621	616	4005	86.67
C	016-02	3797	469	3328	87.65
C	016-10	7142	797	6345	88.84
C	016-11	4647	543	4104	88.32
B	017-03	8966	3713	5253	58.59
B	017-04	2936	944	1992	67.85
C	017-07	6595	1194	5401	81.90
C	017-09	6587	787	5800	88.05
D	001-01	3051	2370	681	22.32
D	001-02	3245	2890	355	10.94
E	001-03	2629	2460	169	6.43
E	001-05	1518	1337	181	11.92
D	001-06	3824	3281	543	14.20
D	001-07	3595	2779	816	22.70
D	001-21	8413	3653	4760	56.58
D	001-23	14407	9758	4649	32.27
D	001-27	3680	2199	1481	40.24
D	001-31	8971	3783	5188	57.83
D	001-32	4834	2752	2082	43.07
D	001-41	4205	2338	1867	44.40
D	001-48	3343	2223	1120	33.50
D	001-49	6030	2722	3308	54.86
D	004-05	791	570	221	27.94
D	011-01	8589	6219	2370	27.59
D	018-01	8198	5029	3169	38.66
D	018-04	3	2	1	33.33
D	018-06	5211	3028	2183	41.89
D	018-08	10	3	7	70.00
E	32	1326	809	517	38.99
E	33	233	168	65	27.90
E	001-04	1569	1471	98	6.25
E	001-09	1650	1482	168	10.18
E	001-10	2013	1881	132	6.56
E	001-11	3227	2967	260	8.06
E	001-12	2765	2376	389	14.07
E	001-16	4357	3035	1322	30.34
E	001-29	3107	2818	289	9.30
E	001-33	2402	2157	245	10.20
E	001-36	3884	3310	574	14.78
E	005-05	12014	6126	5888	49.01
E	007-01	2861	1674	1187	41.49
A	007-02	2301	1681	620	26.94
E	007-10	7419	4817	2602	35.07
E	007-12	4145	2705	1440	34.74
E	008-02	4322	3202	1120	25.91
E	008-03	8067	4981	3086	38.25
A	008-06	3741	2100	1641	43.87
E	008-08	3959	3084	875	22.10
E	008-09	3142	2059	1083	34.47
E	008-10	3838	2483	1355	35.30
E	008-11	6152	3872	2280	37.06
E	011-02	6475	4873	1602	24.74
